strategy,image,watermarked_path,best_attack_names,best_attack_params,best_wpsnr,attack_success_bool,notes
final_strategy,0050.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0050.bmp,,,0.0,False,
final_strategy,0051.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0051.bmp,,,0.0,False,
final_strategy,0052.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0052.bmp,,,0.0,False,
final_strategy,0053.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0053.bmp,,,0.0,False,
final_strategy,0054.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0054.bmp,blur+awgn,"[[np.float64(1.4), np.float64(1.4)], [20.0, 123]]",34.4256,True,
final_strategy,0055.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0055.bmp,,,0.0,False,
final_strategy,0056.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0056.bmp,,,0.0,False,
final_strategy,0057.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0057.bmp,median+awgn,"[[5, 5], [20.0, 123]]",35.2338,True,
final_strategy,0058.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0058.bmp,,,0.0,False,
final_strategy,0059.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0059.bmp,,,0.0,False,
